Date,Open,High,Low,Close,Volume,Adj Close
2013-07-22,1.3193,1.3193,1.3193,1.3193,0,0
2013-07-19,1.3142,1.3142,1.3142,1.3142,0,0
2013-07-18,1.3078,1.3078,1.3078,1.3078,0,0
2013-07-17,1.3094,1.3094,1.3094,1.3094,0,0
2013-07-16,1.3144,1.3144,1.3144,1.3144,0,0
2013-07-15,1.3039,1.3039,1.3039,1.3039,0,0
2013-07-12,1.3048,1.3048,1.3048,1.3048,0,0
2013-07-11,1.3046,1.3046,1.3046,1.3046,0,0
2013-07-10,1.2846,1.2846,1.2846,1.2846,0,0
2013-07-09,1.2774,1.2774,1.2774,1.2774,0,0
2013-07-08,1.2863,1.2863,1.2863,1.2863,0,0
2013-07-05,1.2831,1.2831,1.2831,1.2831,0,0
2013-07-03,1.3005,1.3005,1.3005,1.3005,0,0
2013-07-02,1.3017,1.3017,1.3017,1.3017,0,0
2013-07-01,1.306,1.306,1.306,1.306,0,0
2013-06-28,1.301,1.301,1.301,1.301,0,0
2013-06-27,1.3016,1.3016,1.3016,1.3016,0,0
2013-06-26,1.3006,1.3006,1.3006,1.3006,0,0
2013-06-25,1.308,1.308,1.308,1.308,0,0
2013-06-24,1.3091,1.3091,1.3091,1.3091,0,0
2013-06-21,1.3113,1.3113,1.3113,1.3113,0,0
2013-06-20,1.3214,1.3214,1.3214,1.3214,0,0
